origin,timestamp,on_tour,code
SEP0379,01/24/2014 07:09:55,,RALFN
SEP0380,01/24/2014 07:09:59,,MPWFN
SEP0381,01/24/2014 07:10:01,,MPKFN
SEP0382,01/24/2014 07:10:15,,OVP
SEP0383,01/24/2014 07:10:24,,IVP WT
SEP0384,01/24/2014 07:10:24,,YSP
SEP0385,01/24/2014 07:10:25,,XHHFN
SEP0386,01/24/2014 07:11:30,,MPKFN
SEP0387,01/24/2014 07:11:40,,RLAFN
SEP0388,01/24/2014 07:11:42,,OVP
SEP0389,01/24/2014 07:12:03,,RAAFN
SEP0390,01/24/2014 07:12:05,,MPWFN
SEP0391,01/24/2014 07:14:24,,STERA
SEP0392,01/24/2014 07:14:25,,OVP
SEP0393,01/24/2014 07:14:31,,SAS
SEP0394,01/24/2014 07:14:40,,IVP
SEP0395,01/24/2014 07:14:40,,HC B
SEP0396,01/24/2014 07:14:43,,AES FAV
SEP0397,01/24/2014 07:14:56,,HC II
SEP0398,01/24/2014 07:14:58,,RABFN
SEP0399,01/24/2014 07:15:00,,RCIFN RA
SEP0400,01/24/2014 07:15:01,,RAAFN
SEP0401,01/24/2014 07:15:03,,FLAFN
SEP0402,01/24/2014 07:15:07,,OVP
SEP0403,01/24/2014 07:15:16,,IVP
SEP0404,01/24/2014 07:15:18,,SLERA
SEP0405,01/24/2014 07:15:19,,RAAFN
SEP0406,01/24/2014 07:15:21,,FLAFN
SEP0407,01/24/2014 07:15:25,,SPX
SEP0408,01/24/2014 07:15:27,,YSP
SEP0409,01/24/2014 07:15:29,,XBBFN
SEP0410,01/24/2014 07:15:31,,SPS
SEP0411,01/24/2014 07:15:36,,RABUB
SEP0412,01/24/2014 07:15:38,,FVT
SEP0413,01/24/2014 07:15:45,,AVHDU
SEP0414,01/24/2014 07:15:52,,FABDU
SEP0415,01/24/2014 07:15:59,,FABFN
SEP0416,01/24/2014 07:16:09,,FABDG
SEP0417,01/24/2014 07:16:14,,STELC
SEP0418,01/24/2014 07:16:29,,RABXJ
SEP0419,01/24/2014 07:16:53,,ACIUBBI LC
SEP0420,01/24/2014 07:16:56,,HFLC BB
SEP0421,01/24/2014 07:16:58,,HC D
SEP0422,01/24/2014 07:17:09,,FLBDG
SEP0423,01/24/2014 07:17:16,,FLBDU
SEP0424,01/24/2014 07:17:19,,RAAUB
SEP0425,01/24/2014 07:17:21,,FLAUB
SEP0426,01/24/2014 07:17:22,,FAAUB
SEP0427,01/24/2014 07:17:24,,MPWUB
SEP0428,01/24/2014 07:17:32,,MPBUB
SEP0429,01/24/2014 07:17:38,,FPBUB
SEP0430,01/24/2014 07:17:39,,MPWUB
SEP0431,01/24/2014 07:17:43,,FABBI
SEP0432,01/24/2014 07:17:44,,FLBBI
SEP0433,01/24/2014 07:17:52,,FLBFN
SEP0434,01/24/2014 07:17:54,,YSP
SEP0435,01/24/2014 07:18:01,,XHHUB
SEP0436,01/24/2014 07:18:06,,FCIUB
SEP0437,01/24/2014 07:18:08,,HL B
SEP0438,01/24/2014 07:18:16,,RPQUB
SEP0439,01/24/2014 07:18:23,,MPKUB
SEP0440,01/24/2014 07:18:51,,MPWUB
SEP0441,01/24/2014 07:19:09,,FPBUB
SEP0442,01/24/2014 07:19:16,,MPKUB
SEP0443,01/24/2014 07:19:23,,RABVR
SEP0444,01/24/2014 07:19:26,,RLAUB
SEP0445,01/24/2014 07:19:40,,RLBUB
SEP0446,01/24/2014 07:19:45,,APKFNUB
SEP0447,01/24/2014 07:19:47,,HL
SEP0448,01/24/2014 07:20:00,,HL
SEP0449,01/24/2014 07:20:01,,SAS
SEP0450,01/24/2014 07:20:17,,SAS
SEP0451,01/24/2014 07:20:21,,YVF
SEP0452,01/24/2014 07:20:26,,XBBVRUBFN
SEP0453,01/24/2014 07:20:28,,SAS
SEP0454,01/24/2014 07:20:48,,HS BBB
SEP0455,01/24/2014 07:20:50,,MAAVR
SEP0456,01/24/2014 07:20:52,,HS B
SEP0457,01/24/2014 07:20:53,,RLAVR
SEP0458,01/24/2014 07:21:00,,FVF
